"행정구역(시군구)별(1)","행정구역(시군구)별(2)",성별(1),2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"광주광역시","광산구",계,-216,-763,-953,-280,-467,-1774,-3641,-3878,-5138,-3991
"대전광역시","동  구",계,-4914,-4430,-1156,-1777,-3123,811,-1058,-1268,1689,1000
"대전광역시","중  구",계,-4011,-3580,-4234,-3493,-4202,-3921,-1825,-2728,2793,1626
"대전광역시","서  구",계,-2180,-5101,-3897,-4392,-3835,-4352,-2440,-5753,-6524,5489
"대전광역시","유성구",계,5143,2933,-463,-1905,438,-644,4015,9740,1510,-3069
"대전광역시","대덕구",계,-4669,-5997,-5003,-4775,-375,-825,-1688,-2465,-1161,-2222
"울산광역시","중구",계,-3077,-4647,-7050,-8471,-5839,-3940,-4002,1060,-1229,-2372
"울산광역시","남구",계,-4510,-6503,-5418,-7463,-4058,-6050,-2846,-3209,-2105,-739
"울산광역시","동구",계,-1867,-5928,-5683,-5447,-3052,-2529,-2030,650,-1343,-1510
"울산광역시","북구",계,2692,4151,4570,10077,62,-1023,-552,-2601,-364,-1694
"울산광역시","울주군",계,-860,1010,927,1132,-697,-132,-106,-2115,187,841
"세종특별자치시","세종특별자치시",계,29816,34690,31433,23724,13025,14085,10128,1690,2808,-47
"경기도","수원시",계,2235,3312,-5758,-11068,-11314,-2097,7706,5796,-5189,-7990
"경기도","성남시",계,-2082,-10510,-15534,-13381,-3598,-6852,-6133,-2458,-6627,-7375
"경기도","의정부시",계,3368,2646,5168,4719,9931,4315,2316,1472,-2001,1202
"경기도","안양시",계,-3255,-11526,-12899,-11347,-17963,-2415,1675,-3987,11057,5832
"경기도","부천시",계,-1157,-3703,-8617,-15248,-12575,-10905,-13625,-9191,-9349,-10235
"경기도","광명시",계,-7253,-7700,-6808,-10838,-18290,-5078,-4312,-7748,-2000,15540
"경기도","평택시",계,8017,8947,12781,16037,23018,28377,14703,11846,6399,10623
"경기도","동두천시",계,206,-1017,-569,-1153,-40,541,-893,-2387,-1143,296
"경기도","안산시",계,-11080,-14256,-18632,-10549,3055,-2148,-10419,-11859,-8499,-7888
"경기도","고양시",계,8188,-120,869,21089,12353,1266,-109,-579,-4050,-9274
"경기도","과천시",계,-5569,-6341,577,106,4789,10087,4661,2574,4169,-5907
"경기도","구리시",계,6295,5789,3056,-4641,-1943,-5065,-2507,-1403,101,-518
"경기도","남양주시",계,5935,1624,15530,19271,11096,21184,4831,-4119,1349,-1652
"경기도","오산시",계,116,3454,5426,5326,2546,-118,-278,-353,12126,6905
"경기도","시흥시",계,2734,15289,27188,23056,25378,9538,722,5849,-2570,-3978
"경기도","군포시",계,-4725,-4941,-5297,-1943,-2571,-5140,-1976,-4977,-5166,-4334
"경기도","의왕시",계,-1634,-1296,-2104,6945,2439,-390,-2920,-1445,-4517,5627
"경기도","하남시",계,43533,20400,20973,16986,20100,26240,5349,3080,-1368,-1854
"경기도","용인시",계,9984,9553,28284,22964,12693,2798,-1727,994,10459,4866
"경기도","파주시",계,5467,5733,12947,1375,11289,18625,13067,3067,14149,14869
"경기도","이천시",계,4566,2194,658,1379,2466,5331,57,-344,628,796
"경기도","안성시",계,2378,-164,902,-66,3989,3359,176,826,5292,3031
"경기도","김포시",계,11066,26949,29329,12390,35171,11268,-2954,1315,367,-2329
"경기도","화성시",계,39036,45213,62608,51838,36165,28479,20938,30051,20659,16669
"경기도","광주시",계,13152,16590,16399,7658,8577,5096,4426,-119,6194,-128
"경기도","양주시",계,-245,6285,4664,5335,8188,6584,7906,24942,21199,7282
"경기도","포천시",계,-357,-1518,-1896,-1808,-432,2915,-1122,-2407,-1003,-81
"경기도","여주시",계,538,698,-159,-147,1174,1079,1828,1999,818,120
"경기도","여주군",계,0,0,0,0,0,0,0,0,0,0
"경기도","양주군",계,0,0,0,0,0,0,0,0,0,0
"경기도","화성군",계,0,0,0,0,0,0,0,0,0,0
"경기도","파주군",계,0,0,0,0,0,0,0,0,0,0
"경기도","광주군",계,0,0,0,0,0,0,0,0,0,0
"경기도","연천군",계,219,-374,-689,-637,-107,-280,-188,-139,-341,1859
"경기도","포천군",계,0,0,0,0,0,0,0,0,0,0
"경기도","가평군",계,651,778,300,-204,349,582,576,717,682,42
"경기도","양평군",계,3290,4174,1397,1222,2440,3341,2108,3599,2393,954
"경기도","이천군",계,0,0,0,0,0,0,0,0,0,0
"경기도","용인군",계,0,0,0,0,0,0,0,0,0,0
